"Summary","Location","Description","Start Date/Time","End Date/Time"
"🌙 Evening reflection","","Conflicts: -
Track mood: 4 Tired, 
Consumption: C 1line, 3mmc 1line, Alcohol 2drinks
Reflect on what happened: We saw Letní Letná openning show
What am I grateful for? I got more free steelhunters merch
What did I do well? I got the small bin for WC","2025-08-13 23:00:00+00:00","2025-08-13 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: lunch with Patricie
Mood: 5
Theme for the day: iterative progress","2025-08-14 10:00:00+00:00","2025-08-14 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 4 sad
Consumption: psylocibin microsose
Reflect on what happened: I had lunch with Patricia, it was nice
What am I grateful for? I had a good lunch
What did I do well? I finished he tooltip","2025-08-14 23:00:00+00:00","2025-08-14 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Finish myTeams
Mood: 5
Theme for the day: Finish the week","2025-08-15 10:00:00+00:00","2025-08-15 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: Psylocibin microsose
Reflect on what happened: I generated cocer art for the cyberpunk adventure
What am I grateful for? Stella got to take a nap
What did I do well? I got my tooth fixed","2025-08-15 23:00:00+00:00","2025-08-15 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Make some cool art and consumables for MD
Mood: 6
Theme for the day: work on MD","2025-08-16 10:00:00+00:00","2025-08-16 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: -
Reflect on what happened: I am sitting next to completely naked baby
What am I grateful for? I got to go out!
What did I do well? I persuaded Laura to work with me","2025-08-16 23:00:00+00:00","2025-08-16 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: -
Mood: 4 tired
Theme for the day: relax","2025-08-17 10:00:00+00:00","2025-08-17 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: Alcohol 5 drinks
Reflect on what happened: I went on a nice walk with Sofi, Honza and Martin
What am I grateful for? I got to watch a movie with Stella
What did I do well? I made a nice illustration for Mighty Decks","2025-08-17 23:00:00+00:00","2025-08-17 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Small conflict with Stella in the morning. She was worried she will not have time for a shower before her moms bday
Track mood: 6
Consumption: alcohol 1 drink
Reflect on what happened: I was looking after Sofi on WFH
What am I grateful for? I am 2 commanders away from 100% Tower Dominion 
What did I do well? I made an unoffice logo","2025-08-18 23:00:00+00:00","2025-08-18 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: detailed P levels
Mood: 5
Theme for the day: chill and work","2025-08-19 10:00:00+00:00","2025-08-19 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 4
Consumption: 3mmc 3lines, alcohol 6drinks
Reflect on what happened: We lost one game of Pandemic and the second won partially after a very unlucky draw. It fealt bad.
What am I grateful for? I got to setup a drink with Lenka
What did I do well? I made a table for P levels","2025-08-19 23:00:00+00:00","2025-08-19 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: do some work
Mood: 5
Theme for the day: -","2025-08-20 10:00:00+00:00","2025-08-20 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 5
Consumption: -
Reflect on what happened: it was hectic, but I managed to do all the todos
What am I grateful for? I got to play Drop Dutchy
What did I do well? I finished Coins","2025-08-20 23:00:00+00:00","2025-08-20 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Checkout Žižkov Tower
Mood: 5
Theme for the day: Go with the flow","2025-08-21 10:00:00+00:00","2025-08-21 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 9
Consumption: 3mmc 1 line, alcohol 4drinks
Reflect on what happened: best drink I could imagine
What am I grateful for? Connection with Lenka
What did I do well? Worked hard, play hard","2025-08-21 23:00:00+00:00","2025-08-21 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: 3mmc 1bump, alcohol 4drinks
Reflect on what happened: I met Lili for billiard.
What am I grateful for? I had fun playing billiard.
What did I do well? I fixed some bugs and was good in billiard","2025-08-22 23:00:00+00:00","2025-08-22 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: oběd s našima 
Mood: 6
Theme for the day: go with the flow","2025-08-23 10:00:00+00:00","2025-08-23 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: alcohol 1drink
Reflect on what happened: I took sofi to my parents
What am I grateful for? I got to watch Accountant 2 with Stella
What did I do well? I took care of Sofi","2025-08-23 23:00:00+00:00","2025-08-23 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 5
Consumption: alcohol 7drinks
Reflect on what happened: I watched Sofi in the evening
What am I grateful for? I got to watch Peacemaker
What did I do well? I took care of Sofi","2025-08-24 23:00:00+00:00","2025-08-24 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 10
Consumption: 3mmc 1line, alcohol 5drinks
Reflect on what happened: I got very stressed from getting a used steam deck and seeing Lenka
What am I grateful for? I had an awesome time with Lenka 
What did I do well? I thought on my feet to get everywhere on time.","2025-08-25 23:00:00+00:00","2025-08-25 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: setup my steam deck
Mood: 9
Theme for the day: think back to Yesterday","2025-08-26 10:00:00+00:00","2025-08-26 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: alcohol 1drink
Reflect on what happened: -
What am I grateful for? I got to play on my new steam deck
What did I do well? I got LED strips in the morning","2025-08-26 23:00:00+00:00","2025-08-26 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Look after Sofi in the evening
Mood: 5 Tired
Theme for the day: Go steady","2025-08-27 10:00:00+00:00","2025-08-27 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: I was home with Sofi and Kiki while Stella was at a pub
What am I grateful for? I am happy Sofi was sleeping peacefully
What did I do well? I recognized Ráďa and handled her bad mood OK","2025-08-27 23:00:00+00:00","2025-08-27 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: -
Mood: 6
Theme for the day: -","2025-08-28 10:00:00+00:00","2025-08-28 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: alcohol 1drink
Reflect on what happened: I installed a light at Tess's
What am I grateful for? I got to chill
What did I do well? I made reward markers nice","2025-08-28 23:00:00+00:00","2025-08-28 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: finish WR tickets
Mood: 5 tired
Theme for the day: finish up","2025-08-29 10:00:00+00:00","2025-08-29 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: 3mmc 2lines, coke 1line, alcohol 3drinks
Reflect on what happened: We celebrated WR in Levels
What am I grateful for? I got to play DDR
What did I do well? I finished most tickets","2025-08-29 23:00:00+00:00","2025-08-29 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: zabalit si
Mood: 5
Theme for the day: get ready for travel","2025-08-30 10:00:00+00:00","2025-08-30 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: alcohol 2drinks
Reflect on what happened: I am traveling to Osaka
What am I grateful for? I got to fly business for the first time
What did I do well? I took care of Sofi well","2025-08-30 23:00:00+00:00","2025-08-30 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: get to japan
Mood: 6
Theme for the day:","2025-08-31 10:00:00+00:00","2025-08-31 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: alcohol 3drinks
Reflect on what happened: I am flying from Abu Dhabi to Osaka
What am I grateful for? I got to fly business for the first time
What did I do well? I took good care of Sofi","2025-08-31 23:00:00+00:00","2025-08-31 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: alcohol 2drinks
Reflect on what happened: we got to Kyoto
What am I grateful for? I got to eat nice sushi in Japan
What did I do well? I got us to Kyoto OK","2025-09-01 23:00:00+00:00","2025-09-01 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: get better
Mood: 4 diarrhoea
Theme for the day: 💩","2025-09-02 10:00:00+00:00","2025-09-02 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 4 sick
Consumption: -
Reflect on what happened: I had food poisoning the whole day
What am I grateful for? I am grateful it was not so bad
What did I do well? I read half of my book","2025-09-02 23:00:00+00:00","2025-09-02 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 5
Consumption: -
Reflect on what happened: we went to see a pokemon shop and a market
What am I grateful for? I got to read a lot
What did I do well? I handled Kiki well","2025-09-03 23:00:00+00:00","2025-09-03 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: minor conflict when I said ""don't be lazy"" when Stella didn't want to write down schedule for Sofi.
Track mood: 6
Consumption: -
Reflect on what happened: I am taking care of Sofi
What am I grateful for? Me, Honza and Kris went to Samurai muzeum 
What did I do well? I handled Sofi well","2025-09-03 23:00:00+00:00","2025-09-03 23:30:00+00:00"
"🌞Morning planning","","Conflicts: - but Stella seems easily irritable
TODOs:
Mood:
Theme for the day:","2025-09-04 10:00:00+00:00","2025-09-04 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: minor conflict when I said ""don't be lazy"" when Stella didn't want to write down schedule for Sofi.
Track mood: 6
Consumption: -
Reflect on what happened: I am taking care of Sofi
What am I grateful for? Me, Honza and Kris went to Samurai muzeum 
What did I do well? I handled Sofi well","2025-09-04 23:00:00+00:00","2025-09-04 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: minor conflict when I said ""don't be lazy"" when Stella didn't want to write down schedule for Sofi.
Track mood: 6
Consumption: -
Reflect on what happened: I am taking care of Sofi
What am I grateful for? Me, Honza and Kris went to Samurai muzeum 
What did I do well? I handled Sofi well","2025-09-04 23:00:00+00:00","2025-09-04 23:30:00+00:00"
"🌞Morning planning","","Conflicts:
TODOs:
Mood:
Theme for the day:","2025-09-05 10:00:00+00:00","2025-09-05 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: We went to see some Temples and gardens and a reception in Railway muzeum
What am I grateful for? I had a nice time sightseeing with Kiki and Honza, I liked the Railway muzeum
What did I do well? I was social at the reception","2025-09-05 23:00:00+00:00","2025-09-05 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 4 pain
Consumption: -
Reflect on what happened: We moved to Osaka
What am I grateful for? We have a nice accomodation in Osaka
What did I do well? I moved a lot of suitcases, I finished song lyrics for Na Okoři","2025-09-06 14:00:00+00:00","2025-09-06 14:30:00+00:00"
"🌙 Evening reflection","","Conflicts: 
Track mood: 
Consumption: 
Reflect on what happened: 
What am I grateful for? 
What did I do well?","2025-09-06 23:00:00+00:00","2025-09-06 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: We saw Doutonbori
What am I grateful for? I got to read and chill
What did I do well? I made some funny stories on insta","2025-09-07 23:00:00+00:00","2025-09-07 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: We went to the brach, but swimming was forbidden
What am I grateful for? I liked it at the beach
What did I do well? I put Sofi to sleep OK","2025-09-08 23:00:00+00:00","2025-09-08 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs:
Mood: 3 sad for no reason
Theme for the day: -","2025-09-10 10:00:00+00:00","2025-09-10 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: We celebrated 2 year anniversary of marriage with Stella. We got cheap ramen. 
What am I grateful for? We saw Nara with Sika deers
What did I do well? I took good care of Sofi","2025-09-10 23:00:00+00:00","2025-09-10 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Stella got angry at me for telling Petr her preferences verbatum. She kept pushing me for this until I said ""tenhle rozhovor mě už fajt sere""
Track mood: 5
Consumption: -
Reflect on what happened: we went to a sightseeing tower then got caught up by heavy rain and went for ramen with Kris
What am I grateful for? The ramen was delicious and a huge portion
What did I do well? I read a lot","2025-09-12 23:00:00+00:00","2025-09-12 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Stella was stressed by Kikis reaction on sushi dinner. She was quite harsh and took disagreement as an attack
Track mood: 5
Consumption: alcohol 1drink
Reflect on what happened: We went to Osaka castle, it was nice
What am I grateful for? I got nice sushi
What did I do well? I handled conflict with Stella well and spoke to Kris","2025-09-13 23:00:00+00:00","2025-09-13 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: I spent whole day with Sofi
What am I grateful for? We got pokemon for my friends
What did I do well? I did a good job takinf care of Sofi","2025-09-14 23:00:00+00:00","2025-09-14 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 5
Consumption: -
Reflect on what happened: We went for a boat ride on Doutonbori.
What am I grateful for? I finished thebShrinking series, I loved it
What did I do well? I picked some nice souvenirs","2025-09-15 23:00:00+00:00","2025-09-15 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: -
Reflect on what happened: We went to an Owl cafe for Kiki's Bday and then with Stella to Onsen
What am I grateful for? Onsen was very nice
What did I do well? I supported Kris with her Bday","2025-09-17 23:00:00+00:00","2025-09-17 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: We went to Expo and managed to get to 
What am I grateful for? 
What did I do well?","2025-09-18 23:00:00+00:00","2025-09-18 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 5
Consumption: -
Reflect on what happened: We spent the day shopping
What am I grateful for? I got nice souvenirs
What did I do well? I bought all I wanted","2025-09-19 23:00:00+00:00","2025-09-19 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 5
Consumption: alcohol 3drinks
Reflect on what happened: We are flying back from Japan
What am I grateful for? We had a good time in Japan
What did I do well? I moved all thr luggage to the airport and helped Stella find souvenirs","2025-09-20 23:00:00+00:00","2025-09-20 23:30:00+00:00"
"🌞Morning planning","","Conflicts:
TODOs:
Mood:
Theme for the day:","2025-09-21 17:00:00+00:00","2025-09-21 17:30:00+00:00"
"🌙 Evening reflection","","Conflicts: 
Track mood: 
Consumption: 
Reflect on what happened: 
What am I grateful for? 
What did I do well?","2025-09-21 23:00:00+00:00","2025-09-21 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Stella absurdly escalated disagreement about throwing away furniture and didn't listen when I urged her to calm down. It was pretty bad, but quick.
Track mood: 2
Consumption: -
Reflect on what happened: We came back home
What am I grateful for? We got home OK
What did I do well? I unpacked most things","2025-09-21 23:00:00+00:00","2025-09-21 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Stella was quite aggitated today, because I didn't hear her when she asked for help
Track mood: 6
Consumption: alcohol 1drink
Reflect on what happened: First day at work after vacation was nice
What am I grateful for? I got to ride my bike home
What did I do well? I was quite social over lunch","2025-09-22 23:00:00+00:00","2025-09-22 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: 3mmc 1line
Reflect on what happened: we played board games in Unoffice
What am I grateful for? my friends were so happy to get souvenirs from japan
What did I do well? I wrote some impressive Js","2025-09-23 23:00:00+00:00","2025-09-23 23:30:00+00:00"
